hs_code,hs_description
0102310010,"BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXC DAIRY"
0102310020,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE EXC DAIRY"
0102390010,"BISON, LIVE"
0102390024,"BUFFALO, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI"
0102390028,"BUFFALO, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI"
0102390034,"BUFFALO, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI"
0102390038,"BUFFALO, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI"
0102390054,"BUFFALO, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI"
0102390058,"BUFFALO, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI"
0102390061,BUFFALO FOR IMMEDIATE SLAUGHTER GT=320 KG EA NESOI
0102390072,"BUFFALO, LIVE FOR BREEDING MALE GT=320 KG EA NESOI"
0102390074,"BUFFALO, LIVE, BREEDING, FEMALE GT=320 KG EA NESOI"
0102390082,"BUFFALO, LIVE, MALE, WEIGHING GT=320 KG EACH NESOI"
0102390084,"BUFFALO, LIVE, FEMALE, WEIGHING GT=320 KG EA NESOI"
0102900000,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO"
0103100000,"SWINE, PUREBRED BREEDING, LIVE"
0103910010,"SWINE, LT 7 KG EACH, LIVE, EXC PUREBRED BREEDING"
0103910020,"SWINE, 7 KG TO LT 23 KG EA, LIVE, NESOI"
0103910030,"SWINE, 23 KG TO LT 50 KG EACH, LIVE, NESOI"
0103920010,"SWINE, GT=50 KG, IMMEDIATE SLAUGHTER, LIVE, NESOI"
0103920020,"SWINE, GT=50 KG EACH, LIVE, BREEDING, NESOI"
0103920091,"SWINE, GT=50 KG EACH, LIVE, NESOI"
0104100000,"SHEEP, LIVE"
0104200000,"GOATS, LIVE"
0105110010,"CHICKENS, LT=185 G, BREEDING STOCK, EGG-TYPE, LIVE"
0105110020,"CHICKEN, LT=185 G, BREEDING STOCK, MEAT-TYPE, LIVE"
0105110040,"CHICKENS, LT=185 G EA, LIVE, EXC BREEDING STOCK"
0105120000,"TURKEYS, LT=185 G EACH, LIVE"
0105130000,"DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE"
0105140000,"GEESE, WEIGHTING NOT MORE THAN 185 G EACH, LIVE"
0105150000,"GUINEA FOWLS, WEIGHT NO MORE THAN 185 G EACH, LIVE"
0105940000,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE"
0105990000,"TURKEYS, DUCKS, GEESE AND GUINEAS, GT 185 G, LIVE"
0106110000,"PRIMATES, LIVE"
0106120100,"WHALES, DOLPHINS, MANATEES, SEALS, ETC., LIVE"
0106130000,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE"
0106140000,"RABBITS AND HARES, LIVE"
0106193000,"FOXES, LIVE"
0106199120,"DOGS, LIVE"
0106199195,"MAMMALS, LIVE, NESOI"
0106200000,"REPTILES (INCLUDING SNAKES AND TURTLES), LIVE"
0106310000,"BIRDS OF PREY, LIVE"
0106320000,"PSITTACIFORME-PARROT,PARAKEET,MACAW,COCKATOO, LIVE"
0106330000,OSTRICHES
0106390100,"BIRDS, LIVE, NESOI"
0106410000,"BEES, LIVE"
0106490010,"LARVAE OF LEAF CUTTER BEE, LIVE"
0106490090,"INSECTS, LIVE, NESOI"
0106900110,"WORMS, LIVE"
0106900120,"BAIT, LIVE, EXCEPT WORMS"
0106900180,"ANIMALS, LIVE, NESOI"
0201100510,"CARCASSES/HALF-CARCASSES OF VEAL, FR/CH, GN 15"
0201100590,"CARCASSES/HALF-CARCASS BOVINE, FR/CH, GN 15, NESOI"
0201101010,"CARCASSES/HALF-CARCASSES OF VEAL, FR/CH, US NOTE 3"
0201101090,"CARCASS/HALF-CARCASS BOV, FR/CH, US NOTE 3, NESOI"
0201105010,"CARCASSES/HALF-CARCASSES OF VEAL, FR/CH, NESOI"
0201105090,"CARCASSES/HALF-CARCASSES OF BOVINES, FR/CH, NESOI"
0201200200,"BEEF W/ BONE, HI-QLTY CUTS, PROCESSED, FR/CH GN 15"
0201200400,"MEAT, BOVINE W/ BONE PROCESSED FR/CH GN 15 NESOI"
0201200600,"MEAT, BOVINE W/ BONE FR/CH GN 15 EXC PROCESSED"
0201201000,BEEF W/BONE HI-QLTY CUTS PROCESSED FR/CH US NOTE 3
0201203000,"MEAT, BOVINE"
0201205015,"MEAT, BVNE VEAL CUT W/BONE FR/CH US NT 3 EXC PRCSD"
0201205025,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD, RIB"
0201205035,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,CHUCK"
0201205045,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,LOIN"
0201205055,"MEAT,BOVINE W/BNE FR/CH US NT 3 EXC PROCSD,BRISKET"
0201205065,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,HIP"
0201205075,"MEAT,BOV W/BNE FR/CH US NT 3 EXC PROCSD,FLNK/PLATE"
0201205085,"MEAT, BOVINE W/BONE FR/CH US NT 3 EXC PROCSD,NESO"
0201208010,"MEAT OF BISON, WITH BONE, FRESH OR CHILLED, NESOI"
0201208090,"MEAT OF BOVINES, WITH BONE, FR/CH, NESOI"
0201300200,"BEEF, BONELESS HI-QLTY CUTS PROCESSED FR/CH GN 15"
0201300400,"MEAT, BOVINE BONELESS PROCESSED FR/CH GN 15 NESOI"
0201300600,"MEAT, BOVINE BONELESS FR/CH GN 15, EXC PROCESSED"
0201301000,BEEF BONELESS HI-QLTY CUTS PROCESD FR/CH US NOTE 3
0201303000,"MEAT, BOVINE BONELES PROCESD FR/CH US NOTE 3 NESOI"
0201305015,"MEAT,BVN VEAL CUT BONELESS FR/CH US NT 3 EXC PRCSD"
0201305025,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,RIB"
0201305035,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,CHUCK"
0201305045,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,LOIN"
0201305055,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,BRISKET"
0201305065,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,HIP"
0201305075,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,FLANK"
0201305085,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,NESOI"
0201308010,"MEAT OF BISON, BONELESS, FRESH OR CHILLED, NESOI"
0201308090,"MEAT OF BOVINES, BONELESS, FR/CH, NESOI"
0202100510,"CARCASSES/HALF-CARCASSES OF VEAL, FROZEN, GN 15"
0202100590,"CARCASSES/HALF-CARCASS BOVINE, FRZN, GN 15, NESOI"
0202101010,"CARCASSES/HALF-CARCASSES VEAL, FROZEN, US NOTE 3"
0202101090,"CARCASS/HALF-CARCASS BOV, FROZEN, US NOTE 3, NESOI"
0202105010,"CARCASSES/HALF-CARCASSES OF VEAL, FROZEN, NESOI"
0202105090,"CARCASSES/HALF-CARCASSES OF BOVINES, FROZEN, NESOI"
0202200200,"BEEF W/ BONE, HI-QLTY CUTS, PROCESSED, FRZN GN 15."
0202200400,"MEAT, BOVINE W/ BONE PROCESSED FRZN GN 15 NESOI"
0202200600,"MEAT, BOVINE W/ BONE FRZN GN 15 EXC PROCESSED"
0202201000,BEEF W/ BONE HI-QLTY CUTS PROCESSED FRZN US NOTE 3
0202203000,"MEAT, BOVINE W/ BONE PROCESD, FRZN US NOTE 3 NESOI"
0202205025,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED, RIB"
0202205035,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,CHUC"
0202205045,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,LOIN"
0202205055,"MEAT,BVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,BRSKT"
0202205065,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,HIP"
0202205075,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,FLNK"
0202205085,"MEAT,BOVINE W/ BNE FRZN US NOTE 3 EXC PRCSSED,NESO"
0202208000,"MEAT OF BOVINES, WITH BONE, FROZEN, NESOI"
0202300200,"BEEF, BONELESS HI-QLTY CUTS PROCESSED FROZEN GN 15"
0202300400,"MEAT, BOVINE BONELESS PROCESSED FROZEN GN 15 NESOI"
0202300600,"MEAT, BOVINE BONELESS FROZEN GN 15, EXC PROCESSED"
0202301000,"BEEF, BONELESS HI-QLTY CUTS PROCESD FRZN US NOTE 3"
0202303000,"MEAT, BOVINE BONELESS PROCESD FRZN US NOTE 3 NESOI"
0202305015,"MEAT,BVNE VEAL CUT BONELESS FRZN US NT3 EXC PRCESD"
0202305025,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, RIB"
0202305035,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, CHUCK"
0202305045,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, LOIN"
0202305055,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, BRSKT"
0202305065,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, HIP"
0202305075,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, FLNK"
0202305085,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, NESOI"
0202308000,"MEAT OF BOVINES, BONELESS, FROZEN, NESOI"
0203110000,"CARCASSES/HALF-CARCASSES OF SWINE, FRESH/CHILLED"
0203121010,"HAMS AND CUTS OF SWINE, W/ BONE PROCESSED FR/CH"
0203121020,"SHOULDERS & CUTS OF SWINE, W/ BONE PROCESSED FR/CH"
0203129010,"HAMS & CUTS OF SWINE, W/ BONE FR/CH, EXC PROCESSED"
0203129020,SHOULDERS & CUTS SWINE W/ BONE FR/CH EXC PROCESSED
0203192010,"SPARE RIBS OF SWINE, PROCESSED, FRESH OR CHILLED"
0203192090,"MEAT OF SWINE, PROCESSED, FRESH OR CHILLED, NESOI"
0203194010,"BELLIES OF SWINE, FRESH OR CHILLED, EXC PROCESSED"
0203194090,"MEAT OF SWINE, FRESH OR CHILLED, NESOI"
0203210000,"CARCASSES AND HALF-CARCASSES OF SWINE, FROZEN"
0203221000,HAMS SHOULDERS & CUTS SWINE W/ BONE PROCESSED FRZN
0203229000,"HAMS, SHOULDERS & CUTS, SWINE, W/ BONE, FRZN NESOI"
0203292000,"MEAT OF SWINE, PROCESSED, FROZEN, NESOI"
0203294000,"MEAT OF SWINE, FROZEN, NESOI"
0204100000,CARCASSES AND HALF-CARCASSES OF LAMB FRESH/CHILLED
0204210000,"CARCASSES & HALF-CARCASSES OF SHEEP, FRESH/CHILLED"
0204222010,"SHOULDERS OF LAMB, WITH BONE, FRESH OR CHILLED"
0204222020,"LEGS OF LAMB, WITH BONE, FRESH OR CHILLED"
0204222030,"LOINS OF LAMB, WITH BONE, FRESH OR CHILLED"
0204222090,"MEAT OF LAMB, WITH BONE, FRESH OR CHILLED, NESOI"
0204224000,"MEAT OF SHEEP, WITH BONE, FRESH OR CHILLED, NESOI"
0204232000,"MEAT OF LAMB, BONELESS, FRESH OR CHILLED"
0204234000,"MEAT OF SHEEP, BONELESS, FRESH OR CHILLED EXC LAMB"
0204300000,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN"
0204410000,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN"
0204422010,"SHOULDERS OF LAMB, WITH BONE, FROZEN"
0204422020,"LEGS OF LAMB, WITH BONE, FROZEN"
0204422030,"LOINS OF LAMB, WITH BONE, FROZEN"
0204422090,"MEAT OF LAMB, WITH BONE, FROZEN, NESOI"
0204424000,"MEAT OF SHEEP, WITH BONE, FROZEN, NESOI"
0204432000,"MEAT OF LAMB, BONELESS, FROZEN"
0204434000,"MEAT OF SHEEP, BONELESS, FROZEN, EXCEPT LAMB"
0204500000,"MEAT OF GOATS, FRESH, CHILLED OR FROZEN"
0205000000,"MEAT OF HORSES, ASSES, MULES, HINNIES, FR/CH, FRZN"
0206100000,"OFFAL OF BOVINES, EDIBLE, FRESH OR CHILLED"
0206210000,"TONGUES OF BOVINES, EDIBLE, FROZEN"
0206220000,"LIVERS OF BOVINES, EDIBLE, FROZEN"
0206290000,"OFFAL OF BOVINES, EDIBLE, FROZEN, NESOI"
0206300000,"OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED"
0206410000,"LIVERS OF SWINE, EDIBLE, FROZEN"
0206490000,"OFFAL OF SWINE, EDIBLE, FROZEN, NESOI"
0206800000,"OFFAL, EDIBLE, FRESH OR CHILLED, NESOI"
0206900020,"OFFAL OF SHEEP (INCLUDING LAMB), EDIBLE, FROZEN"
0206900040,"OFFAL, EDIBLE, FROZEN, NESOI"
0207110020,"CHICKENS, WHOLE, YOUNG, FRESH OR CHILLED"
0207110040,"CHICKENS, WHOLE, FRESH OR CHILLED, EXCEPT YOUNG"
0207120020,"CHICKENS, WHOLE, YOUNG, FROZEN"
0207120040,"CHICKENS, WHOLE, FROZEN, EXCEPT YOUNG"
0207130000,"MEAT & EDIBLE OFFAL OF CHICKENS, FRESH OR CHILLED"
0207140020,"LIVERS OF CHICKENS, FROZEN"
0207140040,"MEAT & EDIBLE OFFAL, CHICKENS, FROZEN, EXC LIVERS"
0207240000,"TURKEYS, WHOLE, FRESH OR CHILLED"
0207252000,"TURKEYS, WHOLE, LESS THAN $0.88 PER KG, FROZEN"
0207254000,"TURKEYS, WHOLE, $0.88 OR MORE PER KG, FROZEN"
0207260000,"MEAT & EDIBLE OFFAL OF TURKEYS, FRESH OR CHILLED"
0207270020,"LIVERS OF TURKEYS, FROZEN"
0207270040,"MEAT & EDIBLE OFFAL, TURKEYS, FROZEN, EXC LIVERS"
0207410000,"DUCKS, WHOLE, FRESH OR CHILLED"
0207420000,"DUCKS, WHOLE, FROZEN"
0207430000,"LIVERS OF DUCKS, FATTY, FRESH OR CHILLED"
0207440000,"MEAT & EDIBLE OFFAL OF DUCKS, FRESH/CHILLED, NESOI"
0207450020,"LIVERS OF DUCKS, FROZEN"
0207450040,"MEAT AND EDIBLE OFFAL OF DUCKS, FROZEN, NESOI"
0207510000,"GEESE, WHOLE, FRESH OR CHILLED"
0207520000,"GEESE, WHOLE, FROZEN"
0207530000,"LIVERS OF GEESE, FATTY, FRESH OR CHILLED"
0207540000,"MEAT & EDIBLE OFFAL OF GEESE, FRESH/CHILLED, NESOI"
0207550020,"LIVERS OF GEESE, FROZEN"
0207550040,"MEAT AND EDIBLE OFFAL OF GEESE, FROZEN, NESOI"
0207601000,"GUINEAS FOWLS, WHOLE, FRESH OR CHILLED"
0207602000,"GUINEA FOWLS, WHOLE, FROZEN"
0207603000,"LIVERS OF GUINEA FOWLS, FATTY, FRESH OR CHILLED"
0207604000,"MEAT & EDIBLE OFFAL OF GUINEA FOWLS, FR/CH, NESOI"
0207606020,"LIVERS OF GUINEA FOWLS, FROZEN"
0207606040,"MEAT AND EDIBLE OFFAL OF GUINEA FOWLS, FROZEN, NES"
0208100000,"MEAT & EDIBLE OFFAL OF RABBITS/HARES, FR/CH, FRZN"
0208300000,"MEAT AND EDIBLE OFFAL OF PRIMATES, FR/CH OR FROZEN"
0208400100,"MEAT & OFFAL OF WHALES, MANATEES, ETC, FR/CH, FRZN"
0208500000,"MEAT AND EDIBLE OFFAL OF REPTILES, FR/CH OR FROZEN"
0208600000,"MEAT & EDIBLE OFFAL OF CAMELS, FR/CHL/FZ"
0208902000,"MEAT AND EDIBLE OFFAL OF DEER, FR/CH OR FROZEN"
0208902500,"FROG'S LEGS, FRESH, CHILLED OR FROZEN"
0208903000,"QUAIL, WHOLE, EVISCERATED, FRESH/CHILLED OR FROZEN"
0208909100,"MEAT & EDIBLE OFFAL, FRESH/CHILLED OR FROZEN NESOI"
0209100000,"PIG FAT, FR/CH FRZN SALTD BRINE DRIED SMKD"
0209900000,"POULTRY FAT, FR/CH FRZN SALTD BRINE DRIED SMKD"
0210110010,HAMS & CUTS OF SWINE W/BONE SALTD BRINE DRIED SMKD
0210110020,SHOULDER&CUTS SWINE W/BONE SALTD BRINE DRIED SMKD
0210120020,BACON OF SWINE
0210120040,"BELLIES, CUTS, SWINE SALTD BRINE DRIED SMKD NESOI"
0210190010,"BACON OF SWINE, CANADIAN STYLE"
0210190090,"MEAT OF SWINE, SALTED, BRINE, DRIED, SMOKED, NESOI"
0210200000,"MEAT OF BOVINES, SALTED, IN BRINE, DRIED OR SMOKED"
0210910000,"MEAT & OFFAL OF PRIMATES, SALTED BRINE DRIED SMKD"
0210920100,MEAT OFFAL WHALE MANATEE ETC SLTD BRINE DRIED SMKD
0210930000,"MEAT & OFFAL OF REPTILES, SALTED BRINE DRIED SMKD"
0210992000,"MEAT & OFFAL, CHICKENS ETC, SALTD BRINE DRIED SMKD"
0210999100,"MEAT & OFFAL, SALTED, BRINE, DRIED, SMOKED, NESOI"
0301110010,"KOI (COMMON) CARP (CYPRINUS CARPIO), LIVE"
0301110020,"GOLDFISH AND CRUCIAN CARP, LIVE"
0301110090,"FRESHWATER FISH, ORNAMENTAL, LIVE, NESOI"
0301190000,"FISH, ORNAMENTAL, LIVE, NESOI"
0301910000,"TROUT, LIVE"
0301920000,"EELS (ANGUILLA SPP.), LIVE"
0301930210,"GRASS CARP AND SILVER CARP, LIVE"
0301930290,"CARP, LIVE, NESOI"
0301940100,"ATLANTIC AND PACIFIC BLUEFIN TUNAS , LIVE"
0301950000,"SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII), LIVE"
0301990310,"TENCH AND SHEATFISH, LIVE"
0301990315,"BIGHEAD CARP, LIVE"
0301990390,"FISH, LIVE, NESOI"
0302110010,"RAINBOW TROUT, FARMED, FR/CH, EXC FILLET LIVER ROE"
0302110090,"TROUT, FRESH/CHILLED, EXC FILLET LIVER ROE, NESOI"
0302130013,"CHINOOK (KING) SALMON, FARMED FR/CH EXC FILLET ETC"
0302130014,"CHINOOK (KING) SALMON FR/CH EXC FARMED, FILLET ETC"
0302130022,"CHUM (DOG) SALMON, FR/CH, EXC FILLET, LIVER & ROE"
0302130032,"PINK (HUMPIE) SALMON, FR/CH, EXC FILLET LIVER ROE"
0302130042,"SOCKEYE (RED) SALMON, FR/CH, EXC FILLET LIVER ROE"
0302130053,"COHO (SILVER) SALMON, FARMED FR/CH, EXC FILLET ETC"
0302130054,"COHO (SILVER) SALMON, FR/CH EXC FARMED, FILLET ETC"
0302130062,"PACIFIC SALMON, FR/CH EXC FILL ETC, NESOI"
0302140003,"ATLANTIC SALMON, FARMED FR/CH EXC FILLET LIVER ROE"
0302140004,"ATLANTIC SALMON FR/CH EXC FARMED, FILLET LIVER ETC"
0302140062,"DANUBE SALMON, FR/CH EXC FILL ETC, NESOI"
0302190000,"SALMONIDAE, FRESH OR CHILLED, EXC FILLET ETC NESOI"
0302210010,"ATLANTIC HALIBUT, FR/CH, EXCEPT FILLET, LIVER, ROE"
0302210020,"PACIFIC HALIBUT, FR/CH, EXCEPT FILLET, LIVER & ROE"
0302210090,"GREENLAND HALIBUT (TURBOT), FR/CH, EXC FILLET ETC"
0302220000,"PLAICE, FRESH/CHILLED, EXCEPT FILLET, LIVER & ROE"
0302230000,"SOLE, FRESH/CHILLED, EXCEPT FILLETS, LIVERS & ROES"
0302240000,"TURBOTS, FR/CH, EXCEPT FILLET, LIVER & ROE"
0302290110,"FLOUNDER, FR/CH, EXCEPT FILLETS, LIVERS AND ROES"
0302290190,"FLATFISH, FR/CH, EXCEPT FILLET, LIVER & ROE, NESOI"
0302310000,"ALBACORE/LONGFINNED TUNAS, FR/CH, EXC FILLET ETC"
0302320000,YELLOWFIN TUNAS FR/CH EXCEPT FILLETS LIVERS & ROES
0302330000,"SKIPJACK TUNAS FR/CH EXCEPT FILLETS, LIVERS & ROES"
0302340000,"BIGEYE TUNAS, FR/CH, EXCEPT FILLETS, LIVERS & ROES"
0302350100,"ATL/PAC BLUFIN TUNAS, FR/CH, EXC FILTS/LIVERS/ROES"
0302360000,SOUTHERN BLUEFIN TUNA FR/CH EXC FILETS LIVERS ROES
0302390200,"TUNAS, FR/CH, EXCEPT FILLETS, LIVERS & ROES, NESOI"
0302410000,"HERRINGS, FR/CH, EXCEPT FILLETS, LIVERS AND ROES"
0302420000,"ANCHOVIES, FR/CH, EXC LIVERS, ROES, FILLETS, ETC"
0302430000,"SARDINES ETC, FR/CH, EXC FILLETS, LIVERS AND ROES"
0302440000,"MACKEREL, FR/CH, EXCEPT FILLETS, LIVERS AND ROES"
0302451100,"JACK/HORSE MACKEREL, FR/CH SCALE LT=6.8 KG,EXC FLT"
0302455000,"JACK/HORSE MACKERL, FR/CH,EXC LVRS,ROS,FILTS,NESOI"
0302461100,"COBIA, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302465000,"COBIA, FR/CH, EXC LIVERS, ROES,FILLETS,ETC,NESOI"
0302470010,"SWORDFISH STEAKS, FR/CH, EXCEPT FILLETS ETC, NESOI"
0302470090,"SWORDFISH, FR/CH, EXCEPT STEAKS, FILETS ETC, NESOI"
0302490000,"INDIAN MACKRLS, MARLINS,SAIL/SPEARFISH,ETC. FR/CH"
0302510010,"ATLANTIC COD, FR/CH, EXC FILLETS, LIVERS AND ROES"
0302510090,"COD, FR/CH, EXCEPT FILLETS, LIVERS AND ROES, NESOI"
0302520000,"HADDOCK, FRESH OR CHILLED, EXC FILLET, LIVER, ROE"
0302530000,"ATLANTIC POLLOCK, FR/CH, EXCEPT FILLET, LIVER, ROE"
0302541100,"HAKE, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302545000,"HAKE, FR/CH, EXCEPT FILLETS ETC, NESOI"
0302551100,"AK POLLOCK, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302555000,"AK POLLOCK, FR/CH, EXC LIVERS, ROES,FILLETS, NESOI"
0302561100,"BLUE WHITINGS, FR/CH SCALED LT=6.8 KG,EXC FILT ETC"
0302565000,"BLUE WHITING, FR/CH, EXC LIVERS,ROES,FILLETS,NESOI"
0302591100,"FISH FR/CH,OF FAMLY, SCALED, LT=6.8KG, EXC FIL,NES"
0302595010,"POLLOCK, FR/CH, EXC ATLANTIC, FILLET ETC NESOI"
0302595090,"FISH OF FAMILIES ET, FR/CH,EXC LIVRS,ROS,FILTS,NES"
0302711100,"TILAPIAS, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302715000,"TILAPIAS, FR/CHD, EXC FILLETS ETC, NESOI"
0302721100,"CATFISH, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302725001,"ICTALURUS, FR/CH, EXCPT FILLETS,LIVRS, ROES, NESOI"
0302725004,"PANGASIUS, FR/CH, EXC FILLTS, LIVES & ROES, NESOI"
0302725034,"CATFISH, FRESH/CHILLED, EXC FILLETS ETC, NESOI"
0302731100,"CARP, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302735000,"CARP, FR/CH, EXC LIVERS, ROES, FILLETS, ETC, NESOI"
0302740000,"EELS, FRESH OR CHILLED, EXCEPT FILLET, LIVER, ROE"
0302791100,"SNAKEHEADS, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302795025,"NILE PERCH, FR/CH, EXC FILLET LIVER ROE"
0302795076,"SNAKEHEADS,FR/CH, EXC LIVERS, ROES,FILTS,ETC,NESOI"
0302810011,"DOGFISH, FRESH OR CHILLED, EXC FILLET, LIVER, ROE"
0302810091,"SHARKS, FR/CH, EXC FILLETS, LIVERS AND ROES, NESOI"
0302820000,"RAYS/SKATES, FR/CH,EXC LIVERS,ROES,FILLETS, NESOI"
0302830000,"TOOTHFISH, FRESH/CHILLED,EXCEPT FILLETS/LIVERS/ROE"
0302841100,"SEABASS, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302845000,"SEABASS, FR/CH,EXC LIVERS, ROES, FILLETS, NESOI"
0302851100,"SEABREAM, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302855000,"SEABREAM, FR/CH,EXC LIVERS, ROES, FILLETS, NESOI"
0302891120,"SABLE FISH, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC"
0302891140,"FISH, FR/CH SCALED LT=6.8 KG, EXC FILLET ETC NESOI"
0302895007,"PIKE, FR/CH, EXCEPT FILLET, LIVER AND ROE, NESOI"
0302895010,"PICKEREL, FR/CH, EXP FILLETS, LIVERS & ROES, NESOI"
0302895013,"PIKE PERCH, FR/CH, EXCEPT FILLET ETC, NESOI"
0302895025,"PERCH, FRESHWT, FR/CH, EXC FILLET LIVER ROE, NESOI"
0302895028,"BASS, FRSHWTR, FR/CH, EXC FILLET LIVER ROE, NESOI"
0302895031,"WHITEFISH, FR/CH, EXC FILLET LIVER ROE, NESOI"
0302895034,"FISH, FRESHWATER,FR/CHD, EXC FILLETS ETC, NESOI"
0302895037,"SMELTS, FRESH OR /CH EXC FILET ETC NESOI"
0302895040,"CUSK, FR/CH, EXCEPT FILLET ETC, NESOI"
0302895049,"SHAD & STURGEON, FR/CH EXC FILLET LIVER ROE NESOI"
0302895052,"SABLE FISH, FR/CH, EXC FILLET, LIVER AND ROE NESOI"
0302895055,"OCEAN PERCH, FR/CH, EXC FILLET LIVER AND ROE NESOI"
0302895058,"SNAPPER, FR/CH, EXC FILLET LIVER AND ROE NESOI"
